,ID,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
1276,2296,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1277,10637,Postgraduate,In couple,Has child,3 children,High potential,Mature,Low to medium income,Old customers,Low consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1278,2931,Postgraduate,Alone,No child,No child,Need attention,Adult,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
1279,907,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
1280,3698,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1281,9516,Undergraduate,Alone,No child,No child,Need attention,Mature,Low to medium income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1282,679,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Low consumer,Low consumer,Frequent consumer,Non consumer,Non consumer,Low consumer
1283,7384,Postgraduate,In couple,No child,No child,Leaky bucket,Senior,Low to medium income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1284,5043,Undergraduate,In couple,No child,No child,High potential,Senior,Low income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1285,5267,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
1286,339,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
1287,2516,Undergraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
1288,9010,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1289,378,Postgraduate,In couple,No child,No child,Need attention,Mature,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
1290,4808,Postgraduate,In couple,No child,No child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
1291,5068,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1292,7628,Undergraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
1293,7128,Postgraduate,Alone,Has child,2 children,Leaky bucket,Adult,Low to medium income,Discovering customers,Low consumer,Non consumer,Low consumer,Non consumer,Low consumer,Low consumer
1294,2811,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1295,3551,Postgraduate,In couple,Has child,1 child,Leaky bucket,Senior,Medium to high income,New customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1296,1663,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
1297,5543,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1298,1577,Postgraduate,In couple,No child,No child,Stars,Senior,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1299,10641,Postgraduate,Alone,Has child,2 children,High potential,Adult,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
1300,5336,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Experienced customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
1301,6024,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1302,1878,Undergraduate,In couple,No child,No child,Leaky bucket,Adult,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer
1303,3099,Postgraduate,Alone,Has child,2 children,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1304,6055,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1305,5841,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
1306,3972,Postgraduate,In couple,Has child,2 children,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1307,4394,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
1308,5758,Postgraduate,In couple,No child,No child,Stars,Adult,Medium to high income,New customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
1309,6658,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Discovering customers,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1310,4603,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer,Low consumer
1311,8427,Postgraduate,Alone,No child,No child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer
1312,10260,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1313,7143,Undergraduate,In couple,Has child,1 child,Stars,Senior,High income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
1314,8789,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1315,6197,Postgraduate,Alone,Has child,2 children,High potential,Mature,Low income,Experienced customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Low consumer
1316,4554,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1317,4937,Undergraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
1318,1920,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
1319,8749,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
1320,1650,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
1321,10377,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1322,9206,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,New customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1323,10971,Postgraduate,Alone,Has child,2 children,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Biggest consumer
1324,6398,Undergraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
1325,9212,Postgraduate,In couple,Has child,1 child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
1326,7937,Postgraduate,In couple,No child,No child,Leaky bucket,Adult,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
1327,839,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1328,4246,Postgraduate,Alone,No child,No child,Leaky bucket,Adult,Low income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Biggest consumer
1329,158,Postgraduate,In couple,No child,No child,Stars,Senior,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1330,4832,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1331,5621,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Non consumer
1332,1945,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1333,5147,Postgraduate,Alone,No child,No child,Stars,Senior,High income,Discovering customers,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1334,2535,Postgraduate,In couple,Has child,1 child,Need attention,Adult,High income,Old customers,Frequent consumer,Non consumer,Biggest consumer,Non consumer,Biggest consumer,Biggest consumer
1335,11039,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
1336,9495,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1337,9635,Postgraduate,In couple,No child,No child,Leaky bucket,Adult,Low to medium income,New customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1338,2173,Postgraduate,Alone,Has child,1 child,Leaky bucket,Senior,Low to medium income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer,Low consumer
1339,942,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1340,9386,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1341,5510,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer
1342,873,Postgraduate,In couple,Has child,2 children,Need attention,Senior,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
1343,2253,Postgraduate,In couple,No child,No child,High potential,Adult,Low income,Experienced customers,Frequent consumer,Non consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
1344,5181,Undergraduate,Alone,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Non consumer,Frequent consumer,Low consumer
1345,979,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1346,10390,Undergraduate,In couple,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer
1347,4698,Postgraduate,In couple,No child,No child,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
1348,7793,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1349,1745,Postgraduate,Alone,No child,No child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer
1350,10590,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer
1351,5080,Postgraduate,Alone,No child,No child,Stars,Young,High income,Discovering customers,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1352,8369,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
1353,5232,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1354,2407,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
1355,3834,Postgraduate,Alone,Has child,1 child,Need attention,Mature,High income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
1356,7912,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Experienced customers,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1357,7712,Postgraduate,Alone,No child,No child,Stars,Senior,Medium to high income,New customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1358,1065,Postgraduate,Alone,No child,No child,Stars,Mature,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
1359,7275,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1360,1343,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
1361,1384,Undergraduate,In couple,Has child,1 child,Leaky bucket,Young,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1362,9967,Postgraduate,Alone,Has child,2 children,High potential,Mature,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1363,6181,Undergraduate,In couple,No child,No child,Need attention,Senior,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
1364,10507,Undergraduate,Alone,Has child,1 child,Stars,Adult,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1365,2674,Postgraduate,Alone,Has child,1 child,Need attention,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
1366,2698,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
1367,3231,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1368,4096,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
1369,10476,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
1370,5948,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1371,9140,Undergraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
1372,10258,Postgraduate,Alone,Has child,3 children,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1373,5675,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
1374,4743,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1375,8805,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1376,1542,Postgraduate,Alone,Has child,3 children,Leaky bucket,Mature,Medium to high income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
1377,6770,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer,Frequent consumer
1378,8773,Postgraduate,In couple,Has child,1 child,High potential,Mature,Medium to high income,Experienced customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
1380,10420,Postgraduate,Alone,Has child,1 child,Leaky bucket,Senior,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1381,7514,Undergraduate,In couple,Has child,2 children,Leaky bucket,Mature,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1384,793,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
1385,10909,Postgraduate,In couple,No child,No child,Stars,Senior,High income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
1387,8702,Undergraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
1388,4791,Postgraduate,In couple,Has child,2 children,High potential,Adult,Low to medium income,Old customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
1389,2963,Postgraduate,In couple,No child,No child,Stars,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
1390,8216,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Medium to high income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1391,8140,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1392,10146,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Low consumer
1393,5289,Undergraduate,Alone,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
1394,2587,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
1395,4405,Postgraduate,In couple,Has child,2 children,Stars,Mature,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
1396,8663,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1397,2589,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
1398,3421,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1399,10490,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer,Biggest consumer
1400,4094,Postgraduate,In couple,Has child,2 children,High potential,Mature,Medium to high income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1401,9958,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
1402,2534,Postgraduate,In couple,Has child,1 child,Leaky bucket,Senior,Low to medium income,New customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1403,4188,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
1404,6613,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1405,10827,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
1406,5491,Postgraduate,In couple,Has child,1 child,High potential,Senior,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
1407,8402,Postgraduate,In couple,Has child,1 child,Stars,Senior,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
1408,8783,Postgraduate,In couple,Has child,1 child,High potential,Senior,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1409,10010,Postgraduate,Alone,Has child,2 children,High potential,Senior,Low to medium income,Old customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
1410,618,Postgraduate,In couple,Has child,1 child,Need attention,Adult,High income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
1411,9121,Postgraduate,In couple,Has child,1 child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
1412,361,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1413,4310,Postgraduate,In couple,No child,No child,Stars,Senior,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
1414,2678,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
1415,6376,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1416,524,Undergraduate,In couple,No child,No child,High potential,Mature,Low income,Experienced customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
1417,10341,Postgraduate,In couple,No child,No child,Leaky bucket,Senior,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1418,5654,Postgraduate,In couple,Has child,3 children,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
1419,4098,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
1420,5824,Postgraduate,In couple,Has child,3 children,Leaky bucket,Mature,Low income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
1421,7000,Undergraduate,Alone,No child,No child,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
1422,2561,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
1423,5229,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Medium to high income,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Low consumer
1424,4086,Postgraduate,In couple,No child,No child,High potential,Mature,Low income,Old customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
1425,2428,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1426,8254,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
1427,2836,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Non consumer,Non consumer,Low consumer
1428,8418,Undergraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
1429,1362,Postgraduate,Alone,No child,No child,High potential,Mature,Low income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
1430,7152,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
1431,10033,Undergraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
1432,9349,Postgraduate,In couple,No child,No child,Stars,Adult,High income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
1433,274,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
1434,3388,Postgraduate,Alone,Has child,2 children,Stars,Mature,High income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Biggest consumer,Low consumer
1435,922,Undergraduate,In couple,Has child,2 children,High potential,Adult,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Frequent consumer
